rental_year,rental_month,film_id,title,category_id,category_name,total_rentals,total_revenue,avg_rental_duration,replacement_cost,actor_count,rental_country,rental_city
2005,5,159,CLOSER BANG,5,Comedy,1,4.99,1,12.99,6,India,Chapra
2005,5,971,WHALE BIKINI,9,Foreign,1,4.99,4,11.99,5,Zambia,Kitwe
2005,5,721,REDS POCUS,12,Music,1,4.99,2,23.99,5,Russian Federation,Tšeboksary
2005,5,863,SUN CONFESSIONS,14,Sci-Fi,1,0.99,2,9.99,5,China,Nanyang
2005,5,953,WAIT CIDER,2,Animation,1,3.99,6,9.99,9,Philippines,Cabuyao
2005,5,271,EASY GLADIATOR,1,Action,1,4.99,5,12.99,3,Russian Federation,Kaliningrad
2005,5,887,THIEF PELICAN,2,Animation,1,4.99,1,28.99,7,Nigeria,Zaria
2005,5,132,CHAINSAW UPTOWN,14,Sci-Fi,1,0.99,5,25.99,2,Russian Federation,Lipetsk
2005,5,819,SONG HEDWIG,12,Music,1,2.99,5,29.99,5,Russian Federation,Dzerzinsk
2005,5,979,WITCHES PANIC,7,Drama,1,4.99,5,10.99,4,Mexico,Juárez
2005,5,839,STALLION SUNDANCE,14,Sci-Fi,1,0.99,0,23.99,7,Romania,Botosani
2005,5,367,GOLDMINE TYCOON,14,Sci-Fi,1,0.99,2,20.99,7,China,Yantai
2005,5,573,MICROCOSMOS PARADISE,3,Children,1,2.99,4,22.99,6,Peru,Sullana
2005,5,284,ENEMY ODDS,12,Music,1,4.99,2,23.99,4,China,Yinchuan
2005,5,288,ESCAPE METROPOLIS,16,Travel,1,2.99,4,20.99,4,South Korea,Cheju
2005,5,89,BORROWERS BEDAZZLED,2,Animation,1,0.99,4,22.99,7,Chad,NDjamna
2005,5,557,MANCHURIAN CURTAIN,8,Family,1,4.99,7,27.99,2,China,Tiefa
2005,5,976,WIND PHANTOM,10,Games,1,0.99,6,12.99,3,Greenland,Nuuk
2005,5,579,MINDS TRUMAN,1,Action,1,4.99,2,22.99,6,India,Berhampore (Baharampur)
2005,5,382,GRIT CLOCKWORK,10,Games,1,5.99,8,21.99,3,Venezuela,Ocumare del Tuy
2005,5,84,BOILED DARES,16,Travel,1,4.99,6,13.99,8,Vietnam,Vinh
2005,5,564,MASSAGE IMAGE,2,Animation,1,2.99,1,11.99,9,Vietnam,Cam Ranh
2005,5,681,PIRATES ROXANNE,15,Sports,1,0.99,4,20.99,1,Greenland,Nuuk
2005,5,403,HARRY IDAHO,7,Drama,1,7.99,8,18.99,6,Canada,Vancouver
2005,5,730,RIDGEMONT SUBMARINE,13,New,1,5.99,8,28.99,5,Yugoslavia,Kragujevac
2005,5,478,JAWS HARRY,5,Comedy,1,3.99,5,10.99,5,France,Toulouse
2005,5,387,GUN BONNIE,10,Games,1,1.99,8,27.99,5,Puerto Rico,Ponce
2005,5,650,PACIFIC AMISTAD,6,Documentary,1,2.99,5,27.99,8,Oman,Salala
2005,5,432,HOPE TOOTSIE,4,Classics,1,2.99,3,22.99,4,Nigeria,Kaduna
2005,5,278,ELF MURDER,12,Music,1,4.99,1,19.99,5,Myanmar,Monywa
2005,5,875,TALENTED HOMICIDE,15,Sports,1,0.99,6,9.99,5,Turkey,Eskisehir
2005,5,277,ELEPHANT TROJAN,11,Horror,1,4.99,2,24.99,5,China,Leshan
2005,5,611,MUSKETEERS WAIT,4,Classics,1,4.99,7,17.99,1,United States,Roanoke
2005,5,252,DREAM PICKUP,1,Action,1,2.99,5,18.99,4,Ukraine,Mukatševe
2005,5,298,EYES DRIVING,14,Sci-Fi,1,2.99,1,13.99,5,China,Suihua
2005,5,858,SUBMARINE BED,5,Comedy,1,4.99,4,21.99,11,United States,Laredo
2005,5,670,PELICAN COMFORTS,6,Documentary,1,4.99,3,17.99,5,Mexico,Cuautla
2005,5,633,OCTOBER SUBMARINE,4,Classics,1,5.99,7,10.99,5,Sri Lanka,Jaffna
2005,5,73,BINGO TALENTED,14,Sci-Fi,1,2.99,5,22.99,5,Yemen,Hodeida
2005,5,915,TRUMAN CRAZY,1,Action,1,5.99,8,9.99,6,Nigeria,Oyo
2005,5,58,BEACH HEARTBREAKERS,6,Documentary,1,2.99,5,16.99,7,India,Katihar
2005,5,873,SWEETHEARTS SUSPECTS,3,Children,1,0.99,2,13.99,5,Angola,Namibe
2005,5,16,ALLEY EVOLUTION,9,Foreign,1,5.99,9,23.99,5,Iran,Najafabad
2005,5,776,SECRET GROUNDHOG,6,Documentary,1,4.99,4,11.99,3,Russian Federation,Maikop
2005,5,257,DRUMLINE CYCLONE,16,Travel,1,1.99,4,14.99,NULL,Thailand,Songkhla
2005,5,54,BANGER PINOCCHIO,12,Music,1,0.99,2,15.99,6,Egypt,Shubra al-Khayma
2005,5,878,TEEN APOLLO,16,Travel,1,7.99,6,25.99,5,Colombia,Dos Quebradas
2005,5,705,PURPLE MOVIE,9,Foreign,1,2.99,2,9.99,8,United States,Arlington
2005,5,468,INVASION CYCLONE,3,Children,1,2.99,2,12.99,7,Taiwan,Chiayi
2005,5,525,LOATHING LEGALLY,4,Classics,1,0.99,3,29.99,5,Russian Federation,Jelets
2005,5,489,JUGGLER HARDLY,2,Animation,1,0.99,3,14.99,9,Russian Federation,Niznekamsk
2005,5,114,CAMELOT VACATION,14,Sci-Fi,1,4.99,7,26.99,2,Japan,Izumisano
2005,5,379,GREEDY ROOTS,7,Drama,1,0.99,1,14.99,8,Czech Republic,Olomouc
2005,5,745,ROSES TREASURE,15,Sports,1,8.99,9,23.99,5,Russian Federation,Kamyšin
2005,5,663,PATIENT SISTER,4,Classics,1,2.99,9,29.99,4,Japan,Sasebo
2005,5,287,ENTRAPMENT SATISFACTION,1,Action,1,0.99,1,19.99,4,Mexico,El Fuerte
2005,5,887,THIEF PELICAN,2,Animation,1,5.99,6,28.99,7,India,Pune
2005,5,726,RESERVOIR ADAPTATION,9,Foreign,1,4.99,9,29.99,8,South Korea,Uijongbu
2005,5,543,MADIGAN DORADO,16,Travel,1,5.99,6,20.99,6,Brazil,Sorocaba
2005,5,572,METROPOLIS COMA,14,Sci-Fi,1,6.99,8,9.99,6,Nigeria,Effon-Alaiye
2005,5,304,FARGO GANDHI,3,Children,1,6.99,7,28.99,5,Brazil,Guarujá
2005,5,103,BUCKET BROTHERHOOD,16,Travel,1,4.99,2,27.99,6,Ukraine,Mukatševe
2005,5,397,HANKY OCTOBER,14,Sci-Fi,1,2.99,4,26.99,3,India,Kanchrapara
2005,5,103,BUCKET BROTHERHOOD,16,Travel,1,4.99,4,27.99,6,Mexico,Allende
2005,5,491,JUMPING WRATH,3,Children,1,1.99,5,18.99,8,Austria,Salzburg
2005,5,348,GANDHI KWAI,8,Family,1,0.99,4,9.99,8,Argentina,Santa Fé
2005,5,480,JEEPERS WEDDING,4,Classics,1,3.99,4,29.99,6,Japan,Nagareyama
2005,5,471,ISLAND EXORCIST,4,Classics,1,2.99,4,23.99,3,Italy,Brindisi
2005,5,654,PANKY SUBMARINE,10,Games,1,7.99,7,19.99,8,Pakistan,Shikarpur
2005,5,28,ANTHEM LUKE,5,Comedy,1,6.99,7,16.99,2,China,Lengshuijiang
2005,5,169,COMFORTS RUSH,16,Travel,1,5.99,6,19.99,5,China,Tiefa
2005,5,951,VOYAGE LEGALLY,4,Classics,1,3.99,9,28.99,5,Mexico,Valle de Santiago
2005,5,366,GOLDFINGER SENSIBILITY,7,Drama,1,2.99,5,29.99,4,China,Changzhou
2005,5,39,ARMAGEDDON LOST,14,Sci-Fi,1,3.99,8,10.99,7,United States,Dallas
2005,5,748,RUGRATS SHAKESPEARE,1,Action,1,1.99,5,16.99,6,Saudi Arabia,Jedda
2005,5,284,ENEMY ODDS,12,Music,1,4.99,3,23.99,4,Philippines,Mandaluyong
2005,5,651,PACKER MADIGAN,2,Animation,1,0.99,2,20.99,1,United States,Salinas
2005,5,117,CANDLES GRAPES,10,Games,1,4.99,3,15.99,7,Russian Federation,Lipetsk
2005,5,571,METAL ARMAGEDDON,6,Documentary,1,4.99,8,26.99,8,India,Balurghat
2005,5,134,CHAMPION FLATLINERS,2,Animation,1,6.99,6,21.99,4,India,Bijapur
2005,5,82,BLOOD ARGONAUTS,8,Family,1,3.99,6,13.99,4,Mexico,Mexicali
2005,5,735,ROBBERS JOON,3,Children,1,4.99,9,26.99,5,China,Huai´an
2005,5,932,VALLEY PACKER,5,Comedy,1,0.99,2,21.99,4,Brazil,Ibirité
2005,5,173,CONFESSIONS MAGUIRE,7,Drama,1,4.99,5,25.99,4,Mexico,Huixquilucan
2005,5,791,SHOW LORD,6,Documentary,1,11.99,10,24.99,2,Germany,Mannheim
2005,5,621,NETWORK PEAK,8,Family,1,6.99,9,23.99,3,Faroe Islands,Tórshavn
2005,5,724,REMEMBER DIARY,8,Family,1,2.99,5,15.99,4,China,Qinhuangdao
2005,5,233,DISCIPLE MOTHER,16,Travel,1,1.99,4,17.99,7,Japan,Ueda
2005,5,893,TITANS JERK,14,Sci-Fi,1,9.99,9,11.99,7,South Africa,Kimberley
2005,5,814,SNATCH SLIPPER,5,Comedy,1,4.99,3,15.99,3,Germany,Saarbrücken
2005,5,465,INTERVIEW LIAISONS,13,New,1,8.99,8,17.99,5,Indonesia,Madiun
2005,5,649,OZ LIAISONS,2,Animation,1,2.99,2,14.99,11,China,Zalantun
2005,5,982,WOMEN DORADO,1,Action,1,3.99,7,23.99,5,Indonesia,Pontianak
2005,5,164,COAST RAINBOW,6,Documentary,1,0.99,4,20.99,10,Bolivia,El Alto
2005,5,973,WIFE TURN,6,Documentary,1,4.99,1,27.99,6,Nigeria,Kaduna
2005,5,931,VALENTINE VANISHING,16,Travel,1,0.99,6,9.99,2,Yugoslavia,Kragujevac
2005,5,191,CROOKED FROGMEN,3,Children,1,0.99,6,27.99,6,Indonesia,Purwakarta
2005,5,300,FALCON VOLUME,2,Animation,1,4.99,4,21.99,4,United States,Fontana
2005,5,8,AIRPORT POLLOCK,11,Horror,1,5.99,7,15.99,4,Japan,Okinawa
2005,5,234,DISTURBING SCARFACE,14,Sci-Fi,1,2.99,4,27.99,4,Argentina,Tandil
2005,5,638,OPERATION OPERATION,5,Comedy,1,3.99,8,23.99,3,Mexico,Salamanca
2005,5,390,GUYS FALCON,14,Sci-Fi,1,4.99,1,20.99,5,French Polynesia,Faaa
2005,5,48,BACKLASH UNDEFEATED,3,Children,1,6.99,5,24.99,7,Brazil,Maringá
2005,5,212,DARN FORRESTER,1,Action,1,5.99,8,14.99,9,Iran,Najafabad
2005,5,445,HYDE DOCTOR,4,Classics,1,2.99,3,11.99,6,Italy,Bergamo
2005,5,440,HUNGER ROOF,9,Foreign,1,2.99,8,21.99,1,Philippines,Bislig
2005,5,941,VIDEOTAPE ARSENIC,10,Games,1,4.99,4,10.99,5,Morocco,Nador
2005,5,902,TRADING PINOCCHIO,15,Sports,1,8.99,10,22.99,3,Latvia,Liepaja
2005,5,869,SUSPECTS QUILLS,1,Action,1,3.99,5,22.99,8,French Polynesia,Papeete
2005,5,177,CONNECTICUT TRAMP,14,Sci-Fi,1,5.99,5,20.99,7,Brazil,Brasília
2005,5,738,ROCKETEER MOTHER,9,Foreign,1,3.99,6,27.99,7,United States,Akron
2005,5,89,BORROWERS BEDAZZLED,2,Animation,1,0.99,5,22.99,7,South Korea,Naju
2005,5,491,JUMPING WRATH,3,Children,1,4.99,8,18.99,8,Russian Federation,Jaroslavl
2005,5,21,AMERICAN CIRCUS,1,Action,1,10.99,9,17.99,5,Peru,Callao
2005,5,500,KISS GLORY,9,Foreign,1,5.99,6,11.99,7,United States,Joliet
2005,5,569,MENAGERIE RUSHMORE,2,Animation,1,2.99,7,18.99,2,Argentina,Avellaneda
2005,5,898,TOURIST PELICAN,15,Sports,1,4.99,4,18.99,3,Taiwan,Tsaotun
2005,5,73,BINGO TALENTED,14,Sci-Fi,1,2.99,4,22.99,5,Mozambique,Beira
2005,5,142,CHICKEN HELLFIGHTERS,6,Documentary,1,0.99,2,24.99,2,Brazil,Santo André
2005,5,176,CONGENIALITY QUEST,15,Sports,1,2.99,8,21.99,3,Argentina,La Plata
2005,5,963,WATCH TRACY,2,Animation,1,0.99,4,12.99,5,Vietnam,Nam Dinh
2005,5,186,CRAFT OUTFIELD,7,Drama,1,0.99,2,17.99,6,India,Ahmadnagar
2005,5,368,GONE TROUBLE,7,Drama,1,2.99,7,20.99,5,Slovakia,Bratislava
2005,5,852,STRANGELOVE DESIRE,3,Children,1,2.99,6,27.99,9,Ukraine,Simferopol
2005,5,313,FIDELITY DEVIL,11,Horror,1,8.99,9,11.99,4,Mozambique,Naçala-Porto
2005,5,138,CHARIOTS CONSPIRACY,14,Sci-Fi,1,2.99,3,29.99,2,India,Karnal
2005,5,924,UNFORGIVEN ZOOLANDER,14,Sci-Fi,1,0.99,6,15.99,7,United Kingdom,Dundee
2005,5,242,DOOM DANCING,5,Comedy,1,3.99,7,13.99,8,Mexico,San Felipe del Progreso
2005,5,202,DADDY PITTSBURGH,5,Comedy,1,5.99,6,26.99,5,Japan,Tsuyama
2005,5,646,OUTBREAK DIVINE,10,Games,1,0.99,4,12.99,5,United States,Citrus Heights
2005,5,575,MIDSUMMER GROUNDHOG,6,Documentary,1,9.99,8,27.99,2,Liechtenstein,Vaduz
2005,5,849,STORM HAPPINESS,2,Animation,1,0.99,1,28.99,8,Taiwan,Hsichuh
2005,5,299,FACTORY DRAGON,16,Travel,1,0.99,3,9.99,6,Iran,Shahr-e Kord
2005,5,65,BEHAVIOR RUNAWAY,11,Horror,1,7.99,6,20.99,5,Brazil,Alvorada
2005,5,702,PULP BEVERLY,11,Horror,1,2.99,1,12.99,7,Russian Federation,Usolje-Sibirskoje
2005,5,197,CRUSADE HONEY,15,Sports,1,2.99,0,27.99,9,Tonga,Nuku´alofa
2005,5,523,LIGHTS DEER,4,Classics,1,1.99,8,21.99,2,Brazil,Santo André
2005,5,757,SAGEBRUSH CLUELESS,6,Documentary,1,2.99,3,28.99,7,Philippines,Talavera
2005,5,410,HEAVEN FREEDOM,5,Comedy,1,2.99,6,19.99,10,Venezuela,Valle de la Pascua
2005,5,646,OUTBREAK DIVINE,10,Games,1,0.99,1,12.99,5,United States,Compton
2005,5,272,EDGE KISSING,7,Drama,1,4.99,1,9.99,3,India,Patiala
2005,5,501,KISSING DOLLS,1,Action,1,10.99,9,9.99,3,France,Toulon
2005,5,239,DOGMA FAMILY,2,Animation,1,4.99,2,16.99,7,China,Laiwu
2005,5,600,MOTIONS DETAILS,11,Horror,1,2.99,7,16.99,8,Italy,Alessandria
2005,5,850,STORY SIDE,1,Action,1,0.99,5,27.99,5,Argentina,Bahía Blanca
2005,5,190,CREEPERS KANE,4,Classics,1,4.99,1,23.99,6,Japan,Koriyama
2005,5,595,MOON BUNCH,9,Foreign,1,0.99,7,20.99,1,Spain,Ourense (Orense)
2005,5,382,GRIT CLOCKWORK,10,Games,1,0.99,1,21.99,3,Anguilla,South Hill
2005,5,806,SLEEPY JAPANESE,13,New,1,5.99,7,25.99,6,Argentina,Merlo
2005,5,979,WITCHES PANIC,7,Drama,1,6.99,8,10.99,4,United States,Dallas
2005,5,630,NOTTING SPEAKEASY,7,Drama,1,0.99,3,19.99,2,Algeria,Skikda
2005,5,786,SHEPHERD MIDSUMMER,3,Children,1,0.99,2,14.99,5,China,Binzhou
2005,5,862,SUMMER SCARFACE,4,Classics,1,0.99,2,25.99,8,China,Haining
2005,5,947,VISION TORQUE,9,Foreign,1,3.99,8,16.99,5,Brazil,Juazeiro do Norte
2005,5,187,CRANES RESERVOIR,15,Sports,1,3.99,6,12.99,6,Nigeria,Oyo
2005,5,775,SEATTLE EXPECATIONS,7,Drama,1,6.99,6,18.99,6,Philippines,Tarlac
2005,5,326,FLYING HOOK,2,Animation,1,5.99,9,18.99,8,Germany,Mannheim
2005,5,563,MASSACRE USUAL,10,Games,1,6.99,8,16.99,3,South Africa,Kimberley
2005,5,603,MOVIE SHAKESPEARE,8,Family,1,4.99,6,27.99,8,Taiwan,Changhwa
2005,5,527,LOLA AGENT,11,Horror,1,4.99,3,24.99,6,Mexico,Celaya
2005,5,961,WASH HEAVENLY,9,Foreign,1,4.99,6,22.99,5,South Korea,Naju
2005,5,631,NOVOCAINE FLIGHT,15,Sports,1,2.99,6,11.99,6,Brazil,Poços de Caldas
2005,5,429,HONEY TIES,15,Sports,1,0.99,2,29.99,5,United Kingdom,Southport
2005,5,571,METAL ARMAGEDDON,6,Documentary,1,3.99,7,26.99,8,South Africa,Boksburg
2005,5,391,HALF OUTFIELD,8,Family,1,4.99,8,25.99,6,India,Bijapur
2005,5,872,SWEET BROTHERHOOD,16,Travel,1,8.99,9,27.99,6,Chile,Coquimbo
2005,5,734,ROAD ROXANNE,6,Documentary,1,4.99,0,12.99,8,Argentina,San Miguel de Tucumán
2005,5,219,DEEP CRUSADE,6,Documentary,1,4.99,1,20.99,7,Mexico,Coacalco de Berriozábal
2005,5,863,SUN CONFESSIONS,14,Sci-Fi,1,1.99,6,9.99,5,China,Binzhou
2005,5,951,VOYAGE LEGALLY,4,Classics,1,0.99,2,28.99,5,India,Hoshiarpur
2005,5,413,HEDWIG ALTER,5,Comedy,1,2.99,7,16.99,4,Dominican Republic,La Romana
2005,5,851,STRAIGHT HOURS,15,Sports,1,1.99,4,19.99,3,Poland,Kalisz
2005,5,295,EXPENDABLE STALLION,6,Documentary,1,1.99,4,14.99,4,Japan,Shimonoseki
2005,5,112,CALENDAR GUNFIGHT,9,Foreign,1,5.99,5,22.99,8,China,Xintai
2005,5,43,ATLANTIS CAUSE,8,Family,1,2.99,1,15.99,9,Netherlands,´s-Hertogenbosch
2005,5,915,TRUMAN CRAZY,1,Action,1,5.99,8,9.99,6,China,Sanya
2005,5,388,GUNFIGHT MOON,5,Comedy,1,4.99,9,16.99,4,Japan,Iwakuni
2005,5,462,INSIDER ARIZONA,12,Music,1,2.99,2,17.99,9,Philippines,Baybay
2005,5,856,STREETCAR INTENTIONS,11,Horror,1,4.99,5,11.99,7,Nepal,Birgunj
2005,5,169,COMFORTS RUSH,16,Travel,1,8.99,9,19.99,5,Estonia,Tartu
2005,5,147,CHOCOLAT HARRY,8,Family,1,2.99,7,16.99,5,Pakistan,Mardan
2005,5,740,ROLLERCOASTER BRINGING,11,Horror,1,5.99,8,13.99,3,South Africa,Klerksdorp
2005,5,401,HAROLD FRENCH,7,Drama,1,0.99,4,10.99,7,Angola,Benguela
2005,5,68,BETRAYED REAR,3,Children,1,4.99,3,26.99,4,Germany,Duisburg
2005,5,374,GRAFFITI LOVE,14,Sci-Fi,1,0.99,1,29.99,6,Paraguay,San Lorenzo
2005,5,21,AMERICAN CIRCUS,1,Action,1,4.99,1,17.99,5,Brazil,Juazeiro do Norte
2005,5,803,SLACKER LIAISONS,7,Drama,1,4.99,1,29.99,NULL,India,Karnal
2005,5,159,CLOSER BANG,5,Comedy,1,4.99,1,12.99,6,India,Bhavnagar
2005,5,391,HALF OUTFIELD,8,Family,1,2.99,1,25.99,6,Japan,Izumisano
2005,5,872,SWEET BROTHERHOOD,16,Travel,1,2.99,2,27.99,6,India,Udaipur
2005,5,167,COMA HEAD,16,Travel,1,4.99,4,10.99,3,India,Mysore
2005,5,329,FORREST SONS,1,Action,1,3.99,5,15.99,5,Spain,Gijón
2005,5,319,FISH OPUS,14,Sci-Fi,1,3.99,5,22.99,2,United Arab Emirates,al-Ayn
2005,5,149,CHRISTMAS MOONSHINE,3,Children,1,0.99,2,21.99,3,China,Changzhou
2005,5,306,FEATHERS METAL,10,Games,1,5.99,8,12.99,9,Brunei,Bandar Seri Begawan
2005,5,961,WASH HEAVENLY,9,Foreign,1,4.99,5,22.99,5,India,Etawah
2005,5,496,KICK SAVANNAH,16,Travel,1,6.99,9,10.99,6,Italy,Brescia
2005,5,676,PHILADELPHIA WIFE,15,Sports,1,4.99,2,16.99,2,Japan,Okayama
2005,5,279,ELIZABETH SHANE,15,Sports,1,4.99,6,11.99,3,Indonesia,Pangkal Pinang
2005,5,783,SHANE DARKNESS,16,Travel,1,2.99,3,22.99,3,Turkey,Kilis
2005,5,602,MOURNING PURPLE,14,Sci-Fi,1,0.99,5,14.99,7,South Africa,Springs
2005,5,686,PLUTO OLEANDER,13,New,1,4.99,4,9.99,7,Colombia,Florencia
2005,5,933,VAMPIRE WHALE,13,New,1,9.99,9,11.99,5,Poland,Bydgoszcz
2005,5,141,CHICAGO NORTH,10,Games,1,4.99,6,11.99,8,Mexico,Cuauhtémoc
2005,5,911,TRIP NEWTON,1,Action,1,4.99,5,14.99,4,Italy,Syrakusa
2005,5,48,BACKLASH UNDEFEATED,3,Children,1,5.99,4,24.99,7,Russian Federation,Kaliningrad
2005,5,113,CALIFORNIA BIRDS,15,Sports,1,9.99,9,19.99,2,Poland,Plock
2005,5,251,DRAGONFLY STRANGERS,13,New,1,4.99,5,19.99,3,Saudi Arabia,Tabuk
2005,5,242,DOOM DANCING,5,Comedy,1,0.99,4,13.99,8,Malaysia,Kuching
2005,5,878,TEEN APOLLO,16,Travel,1,4.99,1,25.99,5,Japan,Okinawa
2005,5,646,OUTBREAK DIVINE,10,Games,1,0.99,1,12.99,5,Myanmar,Monywa
2005,5,156,CLERKS ANGELS,6,Documentary,1,4.99,2,15.99,4,Japan,Kuwana
2005,5,292,EXCITEMENT EVE,1,Action,1,5.99,8,20.99,8,Turkey,Tokat
2005,5,773,SEABISCUIT PUNK,15,Sports,1,5.99,9,28.99,3,Egypt,Shubra al-Khayma
2005,5,280,EMPIRE MALKOVICH,3,Children,1,0.99,2,26.99,9,India,Uluberia
2005,5,54,BANGER PINOCCHIO,12,Music,1,0.99,3,15.99,6,South Korea,Tonghae
2005,5,112,CALENDAR GUNFIGHT,9,Foreign,1,4.99,1,22.99,8,China,Fuyu
2005,5,26,ANNIE IDENTITY,14,Sci-Fi,1,3.99,6,15.99,3,Saudi Arabia,Jedda
2005,5,749,RULES HUMAN,11,Horror,1,7.99,9,19.99,5,Nigeria,Ilorin
2005,5,970,WESTWARD SEABISCUIT,4,Classics,1,0.99,2,11.99,6,South Korea,Uijongbu
2005,5,454,IMPACT ALADDIN,12,Music,1,1.99,7,20.99,3,United States,Sunnyvale
2005,5,375,GRAIL FRANKENSTEIN,1,Action,1,6.99,8,17.99,5,Morocco,Beni-Mellal
2005,5,232,DIRTY ACE,10,Games,1,2.99,5,29.99,5,Mozambique,Beira
2005,5,668,PEAK FOREVER,15,Sports,1,4.99,1,25.99,5,United States,Greensboro
2005,5,621,NETWORK PEAK,8,Family,1,2.99,3,23.99,3,Japan,Iwaki
2005,5,892,TITANIC BOONDOCK,2,Animation,1,4.99,2,18.99,12,Israel,Ashdod
2005,5,416,HIGHBALL POTTER,9,Foreign,1,0.99,5,10.99,5,Ukraine,Konotop
2005,5,530,LORD ARIZONA,1,Action,1,2.99,2,27.99,6,Vietnam,Nam Dinh
2005,5,81,BLINDNESS GUN,14,Sci-Fi,1,4.99,1,29.99,3,Venezuela,Valencia
2005,5,948,VOICE PEACH,13,New,1,0.99,3,22.99,3,Turkey,Usak
2005,5,267,EAGLES PANKY,13,New,1,7.99,7,14.99,6,Ukraine,Sumy
2005,5,650,PACIFIC AMISTAD,6,Documentary,1,0.99,1,27.99,8,Pakistan,Dadu
2005,5,398,HANOVER GALAXY,12,Music,1,4.99,5,21.99,7,Thailand,Nakhon Sawan
2005,5,719,RECORDS ZORRO,15,Sports,1,4.99,1,11.99,8,Germany,Duisburg
2005,5,702,PULP BEVERLY,11,Horror,1,3.99,5,12.99,7,Canada,Vancouver
2005,5,563,MASSACRE USUAL,10,Games,1,4.99,3,16.99,3,Philippines,Tanauan
2005,5,773,SEABISCUIT PUNK,15,Sports,1,2.99,4,28.99,3,India,Siliguri (Shiliguri)
2005,5,6,AGENT TRUMAN,9,Foreign,1,8.99,9,17.99,7,Mexico,Coatzacoalcos
2005,5,96,BREAKING HOME,13,New,1,3.99,5,21.99,6,Bangladesh,Tangail
2005,5,301,FAMILY SWEET,11,Horror,1,3.99,7,24.99,9,Mexico,Allende
2005,5,927,UPRISING UPTOWN,1,Action,1,2.99,2,16.99,5,Philippines,Tanza
2005,5,256,DROP WATERFRONT,15,Sports,1,4.99,4,20.99,8,Iran,Sirjan
2005,5,449,IDENTITY LOVER,14,Sci-Fi,1,2.99,1,12.99,4,Germany,Halle/Saale
2005,5,492,JUNGLE CLOSER,13,New,1,0.99,6,11.99,6,Yemen,Sanaa
2005,5,727,RESURRECTION SILVERADO,8,Family,1,0.99,1,12.99,5,Philippines,Mandaluyong
2005,5,268,EARLY HOME,2,Animation,1,4.99,4,27.99,6,Saudi Arabia,al-Qatif
2005,5,374,GRAFFITI LOVE,14,Sci-Fi,1,0.99,1,29.99,6,Taiwan,Changhwa
2005,5,767,SCALAWAG DUCK,12,Music,1,4.99,1,13.99,5,Argentina,Bahía Blanca
2005,5,46,AUTUMN CROW,10,Games,1,9.99,8,13.99,3,Turkmenistan,Ashgabat
2005,5,521,LIES TREATMENT,7,Drama,1,5.99,8,28.99,7,Brazil,Goiânia
2005,5,216,DAY UNFAITHFUL,13,New,1,9.99,8,16.99,5,Philippines,Baybay
2005,5,349,GANGS PRIDE,2,Animation,1,2.99,3,27.99,4,Kenya,Kisumu
2005,5,142,CHICKEN HELLFIGHTERS,6,Documentary,1,5.99,8,24.99,2,Russian Federation,Kursk
2005,5,374,GRAFFITI LOVE,14,Sci-Fi,1,6.99,9,29.99,6,Mexico,Torreón
